query_incident_id,rank,example_incident_id,similarity,example_text,example_veris_action
000D403E-2DC9-4EA7-9294-BD3938D1C3C7,2,0012CC25-9167-40D8-8FE3-3D0DFD8FB6BB,0.186,"Sensitive information belonging to jobseekers has been put at risk on the government's new Universal Jobmatch website, it has been reported.  The security flaw was uncovered during a Channel 4 News investigation. Hackers were said to have been able to register as an employer on the site which is accessed through the Gov.uk portal – another website that has just been launched by the government to deliver more public services online.  The hackers were reported to have obtained information including passwords and passport and driving licence scans after posting a fake advert for a cleaner on Universal Jobmatch.","[""hacking.variety:Exploit vuln"", ""hacking.variety:Other"", ""hacking.vector:Web application""]"
000D403E-2DC9-4EA7-9294-BD3938D1C3C7,3,da0b05e0-ad29-11e8-9e5a-c1f99505e93a,0.1765,"The Wisconsin Department of Health Services (DHS) and The Management Group (TMG) are notifying IRIS participants of a breach of information due to theft of a laptop and a work bag of a TMG IRIS Consultant on Feb. 5, 2018","[""misuse.variety:Data mishandling"", ""misuse.vector:Unknown"", ""physical.variety:Theft"", ""physical.vector:Unknown""]"
0012CC25-9167-40D8-8FE3-3D0DFD8FB6BB,1,0008DADB-E83D-4278-A19A-CEE01610CF43,0.2492,"Patients at an Oregon healthcare facility were notified this week that their protected health information (PHI) was potentially exposed after the theft of an employee laptop.  A Corvallis Clinic employee was attending a work-related conference in Portland in mid-November and had a personal laptop in their locked car. The laptop contained limited health information, according to a privacy disclosure posted on the Corvallis website.2014-01-27-87333166  Potentially compromised information includes patient names, dates of birth, name of treating healthcare provider, and the reason for a clinic visit. Social Security numbers or financial information are not believed to have been included. Moreover, only patients seen within the last two years are said to potentially be affected.  This was a breach of Clinic policy in that patient health information was reported to have been maintained on the employees personal laptop that had not been evaluated or cleared for use by The Clinics IT security officer, the statement read.  The employee reportedly notified supervisors and authorities within 24 hours of the theft taking place. While the incident took place in mid-November, Corvallis explained that it is notifying the public and media earlier than required by federal law. The clinic chose to do this because it takes the issue very seriously and is dedicated to the privacy and security of patient information.  While the laptop had a highly secure alpha-numeric password, Corvallis added that the data stored on the laptop was not encrypted. However, the clinic stated that is thinks a breach of PHI is unlikely.  The Clinics primary ethical responsibility is to our patients, the clinic stated. We are doing our due diligence to try to ascertain what information is contained on the spreadsheet and how many patients were listed. However, unless the laptop is recovered, the exact details of the information and the total number of patients listed may never be known.  This incident is another example of the importance of HIPAA administrative safeguards. Employees at all levels need to understand how to keep patients PHI safe at all times. For example, storing sensitive information on a personal laptop is not a secure way to transport data.  Another factor to keep in mind is that organizations could be found liable for their employees actions. Walgreens was told by an Indiana Court that it was responsible for HIPAA violations committed by one of its employees. The worker inappropriately accessed an individuals prescription medication information and exposed it to another person.  By choosing to appeal Walgreen has now created a precedent  confirming that privacy breach victims may hold employers accountable for the HIPAA violations of their employees, explained the plaintiffs lawyer, Neal Eggeson Jr.","[""physical.variety:Theft"", ""physical.vector:Personal vehicle""]"
0012CC25-9167-40D8-8FE3-3D0DFD8FB6BB,2,39B1FCE8-E94B-49DD-98AF-8B8E75F52F96,0.2361,default password exploited,"[""hacking.notes:it was as easy as using a commonly used password, that is often the default code that never gets changed"", ""hacking.variety:Brute force"", ""hacking.vector:Web application""]"
0012CC25-9167-40D8-8FE3-3D0DFD8FB6BB,3,00224226-4A39-435C-BFFD-672B5D61C7C1,0.2171,leaked info from Azerbaijan electrical producer,"[""hacking.variety:Unknown"", ""hacking.vector:Web application""]"
00163384-B4D7-46D5-9E6F-543DFB00F598,1,0036051E-171D-4F39-9EED-55C526B24E63,0.2793,"Veteran A received information on Veteran B in the mail from the Release of Information (ROI) Department. Veteran A returned the information to the Community Based Outpatient Clinic (CBOC), so that it could be returned to the correct Veteran. The information contained Veteran B's name, address, full SSN and diagnosis.","[""error.variety:Misdelivery"", ""error.vector:Carelessness""]"
00163384-B4D7-46D5-9E6F-543DFB00F598,2,0008DADB-E83D-4278-A19A-CEE01610CF43,0.1939,"Patients at an Oregon healthcare facility were notified this week that their protected health information (PHI) was potentially exposed after the theft of an employee laptop.  A Corvallis Clinic employee was attending a work-related conference in Portland in mid-November and had a personal laptop in their locked car. The laptop contained limited health information, according to a privacy disclosure posted on the Corvallis website.2014-01-27-87333166  Potentially compromised information includes patient names, dates of birth, name of treating healthcare provider, and the reason for a clinic visit. Social Security numbers or financial information are not believed to have been included. Moreover, only patients seen within the last two years are said to potentially be affected.  This was a breach of Clinic policy in that patient health information was reported to have been maintained on the employees personal laptop that had not been evaluated or cleared for use by The Clinics IT security officer, the statement read.  The employee reportedly notified supervisors and authorities within 24 hours of the theft taking place. While the incident took place in mid-November, Corvallis explained that it is notifying the public and media earlier than required by federal law. The clinic chose to do this because it takes the issue very seriously and is dedicated to the privacy and security of patient information.  While the laptop had a highly secure alpha-numeric password, Corvallis added that the data stored on the laptop was not encrypted. However, the clinic stated that is thinks a breach of PHI is unlikely.  The Clinics primary ethical responsibility is to our patients, the clinic stated. We are doing our due diligence to try to ascertain what information is contained on the spreadsheet and how many patients were listed. However, unless the laptop is recovered, the exact details of the information and the total number of patients listed may never be known.  This incident is another example of the importance of HIPAA administrative safeguards. Employees at all levels need to understand how to keep patients PHI safe at all times. For example, storing sensitive information on a personal laptop is not a secure way to transport data.  Another factor to keep in mind is that organizations could be found liable for their employees actions. Walgreens was told by an Indiana Court that it was responsible for HIPAA violations committed by one of its employees. The worker inappropriately accessed an individuals prescription medication information and exposed it to another person.  By choosing to appeal Walgreen has now created a precedent  confirming that privacy breach victims may hold employers accountable for the HIPAA violations of their employees, explained the plaintiffs lawyer, Neal Eggeson Jr.","[""physical.variety:Theft"", ""physical.vector:Personal vehicle""]"
00163384-B4D7-46D5-9E6F-543DFB00F598,3,005C42A3-3FE8-47B5-866B-AFBB5E3F5B95,0.1593,,"[""error.variety:Disposal error"", ""error.vector:Unknown""]"
00163384-B4D7-46D5-9E6F-543DFB00F598,1,0036051E-171D-4F39-9EED-55C526B24E63,0.2793,"Veteran A received information on Veteran B in the mail from the Release of Information (ROI) Department. Veteran A returned the information to the Community Based Outpatient Clinic (CBOC), so that it could be returned to the correct Veteran. The information contained Veteran B's name, address, full SSN and diagnosis.","[""error.variety:Misdelivery"", ""error.vector:Carelessness""]"
00163384-B4D7-46D5-9E6F-543DFB00F598,2,0008DADB-E83D-4278-A19A-CEE01610CF43,0.1939,"Patients at an Oregon healthcare facility were notified this week that their protected health information (PHI) was potentially exposed after the theft of an employee laptop.  A Corvallis Clinic employee was attending a work-related conference in Portland in mid-November and had a personal laptop in their locked car. The laptop contained limited health information, according to a privacy disclosure posted on the Corvallis website.2014-01-27-87333166  Potentially compromised information includes patient names, dates of birth, name of treating healthcare provider, and the reason for a clinic visit. Social Security numbers or financial information are not believed to have been included. Moreover, only patients seen within the last two years are said to potentially be affected.  This was a breach of Clinic policy in that patient health information was reported to have been maintained on the employees personal laptop that had not been evaluated or cleared for use by The Clinics IT security officer, the statement read.  The employee reportedly notified supervisors and authorities within 24 hours of the theft taking place. While the incident took place in mid-November, Corvallis explained that it is notifying the public and media earlier than required by federal law. The clinic chose to do this because it takes the issue very seriously and is dedicated to the privacy and security of patient information.  While the laptop had a highly secure alpha-numeric password, Corvallis added that the data stored on the laptop was not encrypted. However, the clinic stated that is thinks a breach of PHI is unlikely.  The Clinics primary ethical responsibility is to our patients, the clinic stated. We are doing our due diligence to try to ascertain what information is contained on the spreadsheet and how many patients were listed. However, unless the laptop is recovered, the exact details of the information and the total number of patients listed may never be known.  This incident is another example of the importance of HIPAA administrative safeguards. Employees at all levels need to understand how to keep patients PHI safe at all times. For example, storing sensitive information on a personal laptop is not a secure way to transport data.  Another factor to keep in mind is that organizations could be found liable for their employees actions. Walgreens was told by an Indiana Court that it was responsible for HIPAA violations committed by one of its employees. The worker inappropriately accessed an individuals prescription medication information and exposed it to another person.  By choosing to appeal Walgreen has now created a precedent  confirming that privacy breach victims may hold employers accountable for the HIPAA violations of their employees, explained the plaintiffs lawyer, Neal Eggeson Jr.","[""physical.variety:Theft"", ""physical.vector:Personal vehicle""]"
00163384-B4D7-46D5-9E6F-543DFB00F598,3,005C42A3-3FE8-47B5-866B-AFBB5E3F5B95,0.1593,,"[""error.variety:Disposal error"", ""error.vector:Unknown""]"
9eda6e80-de98-11e7-9424-7b935f12be98,1,00224226-4A39-435C-BFFD-672B5D61C7C1,0.2869,leaked info from Azerbaijan electrical producer,"[""hacking.variety:Unknown"", ""hacking.vector:Web application""]"
9eda6e80-de98-11e7-9424-7b935f12be98,2,39B1FCE8-E94B-49DD-98AF-8B8E75F52F96,0.2758,default password exploited,"[""hacking.notes:it was as easy as using a commonly used password, that is often the default code that never gets changed"", ""hacking.variety:Brute force"", ""hacking.vector:Web application""]"
9eda6e80-de98-11e7-9424-7b935f12be98,3,0012CC25-9167-40D8-8FE3-3D0DFD8FB6BB,0.214,"Sensitive information belonging to jobseekers has been put at risk on the government's new Universal Jobmatch website, it has been reported.  The security flaw was uncovered during a Channel 4 News investigation. Hackers were said to have been able to register as an employer on the site which is accessed through the Gov.uk portal – another website that has just been launched by the government to deliver more public services online.  The hackers were reported to have obtained information including passwords and passport and driving licence scans after posting a fake advert for a cleaner on Universal Jobmatch.","[""hacking.variety:Exploit vuln"", ""hacking.variety:Other"", ""hacking.vector:Web application""]"
00224226-4A39-435C-BFFD-672B5D61C7C1,1,39B1FCE8-E94B-49DD-98AF-8B8E75F52F96,0.3839,default password exploited,"[""hacking.notes:it was as easy as using a commonly used password, that is often the default code that never gets changed"", ""hacking.variety:Brute force"", ""hacking.vector:Web application""]"
00224226-4A39-435C-BFFD-672B5D61C7C1,2,9eda6e80-de98-11e7-9424-7b935f12be98,0.2869,Officials say an employee database was hacked at Lexington Medical Center.  Thousands of records have been exposed including social security numbers and W-2 forms of current and former employees.,"[""hacking.variety:Unknown"", ""hacking.vector:Web application""]"
00224226-4A39-435C-BFFD-672B5D61C7C1,3,7FBE1079-2038-4742-AD27-9F247E00D4D7,0.2836,insider cop leaked infor,"[""misuse.variety:Data mishandling"", ""misuse.vector:LAN access"", ""social.target:Manager"", ""social.variety:Pretexting"", ""social.vector:Phone""]"
002599D4-A872-433B-9980-BD9F257B283F,1,da0b05e0-ad29-11e8-9e5a-c1f99505e93a,0.3318,"The Wisconsin Department of Health Services (DHS) and The Management Group (TMG) are notifying IRIS participants of a breach of information due to theft of a laptop and a work bag of a TMG IRIS Consultant on Feb. 5, 2018","[""misuse.variety:Data mishandling"", ""misuse.vector:Unknown"", ""physical.variety:Theft"", ""physical.vector:Unknown""]"
002599D4-A872-433B-9980-BD9F257B283F,2,004BC977-E210-4AF8-8778-572E168A7B9E,0.231,Loss of portable electronic device,"[""error.variety:Loss"", ""error.vector:Unknown""]"
002599D4-A872-433B-9980-BD9F257B283F,3,003F5B6A-CA75-4694-AA76-FE9498FF0C3E,0.229,IRS employee leaks confidential information from a political group's tax returns.,"[""misuse.variety:Data mishandling"", ""misuse.vector:LAN access""]"
da0b05e0-ad29-11e8-9e5a-c1f99505e93a,1,002599D4-A872-433B-9980-BD9F257B283F,0.3318,"A group of patients filed a class-action lawsuit against Sutter Health this week, after it was revealed a laptop containing information on more than 4 million patients was stolen from the headquarters of the Sutter Medical Foundation (SMF) in Natomas, California.","[""physical.variety:Theft"", ""physical.vector:Unknown""]"
da0b05e0-ad29-11e8-9e5a-c1f99505e93a,2,004BC977-E210-4AF8-8778-572E168A7B9E,0.2753,Loss of portable electronic device,"[""error.variety:Loss"", ""error.vector:Unknown""]"
da0b05e0-ad29-11e8-9e5a-c1f99505e93a,3,d2f15020-8c28-11e7-944b-11adeb58a7b0,0.2664,Nurse stole payment card from patient.,"[""physical.notes:VERIS 1_3_7 to 1_4_0 Migration script to remove privileged access"", ""physical.variety:Theft"", ""physical.vector:Victim secure area""]"
39B1FCE8-E94B-49DD-98AF-8B8E75F52F96,1,00224226-4A39-435C-BFFD-672B5D61C7C1,0.3839,leaked info from Azerbaijan electrical producer,"[""hacking.variety:Unknown"", ""hacking.vector:Web application""]"
39B1FCE8-E94B-49DD-98AF-8B8E75F52F96,2,9eda6e80-de98-11e7-9424-7b935f12be98,0.2758,Officials say an employee database was hacked at Lexington Medical Center.  Thousands of records have been exposed including social security numbers and W-2 forms of current and former employees.,"[""hacking.variety:Unknown"", ""hacking.vector:Web application""]"
39B1FCE8-E94B-49DD-98AF-8B8E75F52F96,3,7FBE1079-2038-4742-AD27-9F247E00D4D7,0.2574,insider cop leaked infor,"[""misuse.variety:Data mishandling"", ""misuse.vector:LAN access"", ""social.target:Manager"", ""social.variety:Pretexting"", ""social.vector:Phone""]"
0036051E-171D-4F39-9EED-55C526B24E63,1,00163384-B4D7-46D5-9E6F-543DFB00F598,0.2793,"Veteran A returned a hard copy written prescription order for Veteran B that he received along with his appointment letter. The prescription order contained Veteran B's name, address, date of birth and medication information.  This is informational for Mis-Handling incidents and is the representative ticket. There were a total of 87 Mis-Handling incidents this reporting period. Because of repetition, the other 86 are not included in this report, but are included in the ""Mis-Handling Incidents"" count at the end of this report. In all incidents, Veterans will receive a notification letter and/or credit monitoring will be offered if appropriate.","[""error.variety:Misdelivery"", ""error.vector:Carelessness""]"
0036051E-171D-4F39-9EED-55C526B24E63,2,00163384-B4D7-46D5-9E6F-543DFB00F598,0.2793,"Veteran A returned a hard copy written prescription order for Veteran B that he received along with his appointment letter. The prescription order contained Veteran B's name, address, date of birth and medication information.  This is informational for Mis-Handling incidents and is the representative ticket. There were a total of 87 Mis-Handling incidents this reporting period. Because of repetition, the other 86 are not included in this report, but are included in the ""Mis-Handling Incidents"" count at the end of this report. In all incidents, Veterans will receive a notification letter and/or credit monitoring will be offered if appropriate.","[""error.variety:Misdelivery"", ""error.vector:Carelessness""]"
0036051E-171D-4F39-9EED-55C526B24E63,3,005C42A3-3FE8-47B5-866B-AFBB5E3F5B95,0.2209,,"[""error.variety:Disposal error"", ""error.vector:Unknown""]"
E12ACA81-EFCF-4096-8D2D-4D54E9898077,1,39B1FCE8-E94B-49DD-98AF-8B8E75F52F96,0.2045,default password exploited,"[""hacking.notes:it was as easy as using a commonly used password, that is often the default code that never gets changed"", ""hacking.variety:Brute force"", ""hacking.vector:Web application""]"
E12ACA81-EFCF-4096-8D2D-4D54E9898077,2,00224226-4A39-435C-BFFD-672B5D61C7C1,0.1874,leaked info from Azerbaijan electrical producer,"[""hacking.variety:Unknown"", ""hacking.vector:Web application""]"
E12ACA81-EFCF-4096-8D2D-4D54E9898077,3,0012CC25-9167-40D8-8FE3-3D0DFD8FB6BB,0.1701,"Sensitive information belonging to jobseekers has been put at risk on the government's new Universal Jobmatch website, it has been reported.  The security flaw was uncovered during a Channel 4 News investigation. Hackers were said to have been able to register as an employer on the site which is accessed through the Gov.uk portal – another website that has just been launched by the government to deliver more public services online.  The hackers were reported to have obtained information including passwords and passport and driving licence scans after posting a fake advert for a cleaner on Universal Jobmatch.","[""hacking.variety:Exploit vuln"", ""hacking.variety:Other"", ""hacking.vector:Web application""]"
d2f15020-8c28-11e7-944b-11adeb58a7b0,1,da0b05e0-ad29-11e8-9e5a-c1f99505e93a,0.2664,"The Wisconsin Department of Health Services (DHS) and The Management Group (TMG) are notifying IRIS participants of a breach of information due to theft of a laptop and a work bag of a TMG IRIS Consultant on Feb. 5, 2018","[""misuse.variety:Data mishandling"", ""misuse.vector:Unknown"", ""physical.variety:Theft"", ""physical.vector:Unknown""]"
d2f15020-8c28-11e7-944b-11adeb58a7b0,2,005C42A3-3FE8-47B5-866B-AFBB5E3F5B95,0.245,,"[""error.variety:Disposal error"", ""error.vector:Unknown""]"
d2f15020-8c28-11e7-944b-11adeb58a7b0,3,0eb22d90-8e87-11ec-a600-657ec2694f8f,0.2232,Presitge Software accidently misconfigured their s3 buckets,"[""error.variety:Misconfiguration"", ""error.vector:Carelessness""]"
003F5B6A-CA75-4694-AA76-FE9498FF0C3E,1,7FBE1079-2038-4742-AD27-9F247E00D4D7,0.3079,insider cop leaked infor,"[""misuse.variety:Data mishandling"", ""misuse.vector:LAN access"", ""social.target:Manager"", ""social.variety:Pretexting"", ""social.vector:Phone""]"
003F5B6A-CA75-4694-AA76-FE9498FF0C3E,2,0001AA7F-C601-424A-B2B8-BE6C9F5164E7,0.2683,A billing clerk filed a claim for Patient A without consent to bill for 7332 protected health information. The bill has been cancelled.,"[""misuse.variety:Privilege abuse"", ""misuse.vector:LAN access""]"
003F5B6A-CA75-4694-AA76-FE9498FF0C3E,3,da0b05e0-ad29-11e8-9e5a-c1f99505e93a,0.2655,"The Wisconsin Department of Health Services (DHS) and The Management Group (TMG) are notifying IRIS participants of a breach of information due to theft of a laptop and a work bag of a TMG IRIS Consultant on Feb. 5, 2018","[""misuse.variety:Data mishandling"", ""misuse.vector:Unknown"", ""physical.variety:Theft"", ""physical.vector:Unknown""]"
f711e1f0-a38d-11e7-a67b-81fbdaca3f85,1,005C42A3-3FE8-47B5-866B-AFBB5E3F5B95,0.2641,,"[""error.variety:Disposal error"", ""error.vector:Unknown""]"
f711e1f0-a38d-11e7-a67b-81fbdaca3f85,2,004BC977-E210-4AF8-8778-572E168A7B9E,0.2427,Loss of portable electronic device,"[""error.variety:Loss"", ""error.vector:Unknown""]"
f711e1f0-a38d-11e7-a67b-81fbdaca3f85,3,0eb22d90-8e87-11ec-a600-657ec2694f8f,0.232,Presitge Software accidently misconfigured their s3 buckets,"[""error.variety:Misconfiguration"", ""error.vector:Carelessness""]"
004BC977-E210-4AF8-8778-572E168A7B9E,1,005C42A3-3FE8-47B5-866B-AFBB5E3F5B95,0.4252,,"[""error.variety:Disposal error"", ""error.vector:Unknown""]"
004BC977-E210-4AF8-8778-572E168A7B9E,2,da0b05e0-ad29-11e8-9e5a-c1f99505e93a,0.2753,"The Wisconsin Department of Health Services (DHS) and The Management Group (TMG) are notifying IRIS participants of a breach of information due to theft of a laptop and a work bag of a TMG IRIS Consultant on Feb. 5, 2018","[""misuse.variety:Data mishandling"", ""misuse.vector:Unknown"", ""physical.variety:Theft"", ""physical.vector:Unknown""]"
004BC977-E210-4AF8-8778-572E168A7B9E,3,0eb22d90-8e87-11ec-a600-657ec2694f8f,0.247,Presitge Software accidently misconfigured their s3 buckets,"[""error.variety:Misconfiguration"", ""error.vector:Carelessness""]"
005C42A3-3FE8-47B5-866B-AFBB5E3F5B95,1,004BC977-E210-4AF8-8778-572E168A7B9E,0.4252,Loss of portable electronic device,"[""error.variety:Loss"", ""error.vector:Unknown""]"
005C42A3-3FE8-47B5-866B-AFBB5E3F5B95,2,0eb22d90-8e87-11ec-a600-657ec2694f8f,0.3274,Presitge Software accidently misconfigured their s3 buckets,"[""error.variety:Misconfiguration"", ""error.vector:Carelessness""]"
005C42A3-3FE8-47B5-866B-AFBB5E3F5B95,3,f711e1f0-a38d-11e7-a67b-81fbdaca3f85,0.2641,"Data breach made public, Ridgeview Medical Center says it exposed some email addresses","[""error.variety:Gaffe"", ""error.vector:Carelessness""]"
7FBE1079-2038-4742-AD27-9F247E00D4D7,1,003F5B6A-CA75-4694-AA76-FE9498FF0C3E,0.3079,IRS employee leaks confidential information from a political group's tax returns.,"[""misuse.variety:Data mishandling"", ""misuse.vector:LAN access""]"
7FBE1079-2038-4742-AD27-9F247E00D4D7,2,00224226-4A39-435C-BFFD-672B5D61C7C1,0.2836,leaked info from Azerbaijan electrical producer,"[""hacking.variety:Unknown"", ""hacking.vector:Web application""]"
7FBE1079-2038-4742-AD27-9F247E00D4D7,3,39B1FCE8-E94B-49DD-98AF-8B8E75F52F96,0.2574,default password exploited,"[""hacking.notes:it was as easy as using a commonly used password, that is often the default code that never gets changed"", ""hacking.variety:Brute force"", ""hacking.vector:Web application""]"
